Name,BlockType,Parent,Parameter,Sources,Destinations,Path
phase_offset,Constant,TestStructure/InterForceControlTask/DMP,"Value=0.5",,TestStructure/InterForceControlTask/DMP/Subsystem; TestStructure/InterForceControlTask/DMP/Switch1,TestStructure/InterForceControlTask/DMP/phase_offset
tau,Constant,TestStructure/InterForceControlTask/DMP,"Value=1.0",,TestStructure/InterForceControlTask/DMP/MATLAB Function8; TestStructure/InterForceControlTask/DMP/Subsystem,TestStructure/InterForceControlTask/DMP/tau
Switch1,Switch,TestStructure/InterForceControlTask/FootSwitch,"Criteria=u2 > Threshold, Threshold=0",TestStructure/InterForceControlTask/FootSwitch/<FootSelect>; TestStructure/InterForceControlTask/FootSwitch/<LeftHipMotorActuralPosition>; TestStructure/InterForceControlTask/FootSwitch/<RightHipMotorActuralPosition>,TestStructure/InterForceControlTask/FootSwitch/ActuralPosition,TestStructure/InterForceControlTask/FootSwitch/Switch1
Switch2,Switch,TestStructure/InterForceControlTask/FootSwitch,"Criteria=u2 > Threshold, Threshold=0",TestStructure/InterForceControlTask/FootSwitch/<FootSelect>; TestStructure/InterForceControlTask/FootSwitch/<LeftHipMotorActuralVelocity>; TestStructure/InterForceControlTask/FootSwitch/<RightHipMotorActuralVelocity>,TestStructure/InterForceControlTask/FootSwitch/ActuralVelocity,TestStructure/InterForceControlTask/FootSwitch/Switch2
Saturation,Saturate,TestStructure/InterForceControlTask,"Upper=20, Lower=-20",TestStructure/InterForceControlTask/Model,TestStructure/InterForceControlTask/Bus Creator,TestStructure/InterForceControlTask/Saturation
Saturation1,Saturate,TestStructure/InterForceControlTask,"Upper=20, Lower=-20",TestStructure/InterForceControlTask/Model,TestStructure/InterForceControlTask/Bus Creator,TestStructure/InterForceControlTask/Saturation1
Switch3,Switch,TestStructure/InterForceControlTask,"Criteria=u2 >= Threshold, Threshold=0",TestStructure/InterForceControlTask/DMP; TestStructure/InterForceControlTask/ref_q_max,TestStructure/InterForceControlTask/TorqueController,TestStructure/InterForceControlTask/Switch3
Activity_Enable,Constant,TestStructure/InterForceControlTask/TorqueController,"Value=1",,TestStructure/InterForceControlTask/TorqueController/MO_AutoDisable?,TestStructure/InterForceControlTask/TorqueController/Activity_Enable
Gain,Gain,TestStructure/InterForceControlTask/TorqueController,"Gain=0.01",TestStructure/InterForceControlTask/TorqueController/Filter1,TestStructure/InterForceControlTask/TorqueController/MATLAB Function3; TestStructure/InterForceControlTask/TorqueController/Subsystem2,TestStructure/InterForceControlTask/TorqueController/Gain
Gain3,Gain,TestStructure/InterForceControlTask/TorqueController,"Gain=0.4",TestStructure/InterForceControlTask/TorqueController/Abs,TestStructure/InterForceControlTask/TorqueController/MO_ActivityMovent,TestStructure/InterForceControlTask/TorqueController/Gain3
ActivityValue,Constant,TestStructure/InterForceControlTask/TorqueController/If Action Subsystem1,"Value=1",,TestStructure/InterForceControlTask/TorqueController/If Action Subsystem1/activity_gain,TestStructure/InterForceControlTask/TorqueController/If Action
Subsystem1/ActivityValue
